0x800A178C  Data read error.
0x800A17A0  Battle voice data read error.
0x800A17C0  Battle font Graphic read error.
0x800A17E0  (%3d:%1d, %3d:%1d)
0x800A19BC  Press any key to exit.
0x800A1A04  Decode error.(Texture:%d)
0x800A1A20  Decode error.(Scenario & Map)
0x800A1A40  Map No.%d(0x%04x) not found.
0x800A1A60  Map file read error.
0x800A1A78  MiniGame:
0x800A2678  Item Graphic read error.
0x800A26FC  <Multi Tap>
0x800A2708  <Analog Controler>
0x800A271C  <Analog Joystick>
0x800A2730  <Normal Pad>
0x800A2740  <neGcon>
0x800A274C  <No Pad>
0x800A2758  X=%3d Y=%3d ATR=%02X
0x800A2770  [Photgraphic mode]
0x800A27AC  Now loading.
0x800A27BC  Face file read error.
0x800A2818  Graphics loading.
0x800A282C  Ranks charactor file read error.
0x800A3618  Sound Test
0x800A3624  CONTINUE
0x800A3630  NEW GAME
0x800A363C  PRESS START
0x800A380C  ADJUST SCREEN
0x800A381C  EXIT:START BUTTON
0x800A3830  Spectrum Analyzer
0x800A3844  Level Meter
0x800A3850  Reverb Mode
0x800A385C  SE Volume
0x800A3868  BGM Volume
0x800A3874  Play Type
0x800A3880  Continue
0x800A388C  TRANSFER
0x800A3898  STUDIO_C
0x800A38A4  STUDIO_B
0x800A38B0  STUDIO_A
0x800A38BC  Naval Forces
0x800A38CC  Imposing visage
0x800A38DC  Invisible hand
0x800A38EC  Ancestral recall
0x800A3900  Fatalism
0x800A390C  Missing you
0x800A3918   namco 11
0x800A3924   namco 10
0x800A3930   namco 9
0x800A393C   namco 8
0x800A3948   namco 7
0x800A3954   namco 6
0x800A3960   namco 5
0x800A396C   namco 4
0x800A3978   namco 3
0x800A3984   namco 2
0x800A3990   namco 1
0x800A399C  Leaving for the future
0x800A39B4  Puppy love
0x800A39C0  Memory "Yume de aruyouni"
0x800A39DC  Crown of croses
0x800A39EC  Trickster
0x800A39F8  Danger signal
0x800A3A08  Idle fears
0x800A3A14  Rise again
0x800A3A20  Unsophisticated
0x800A3A30  Cry for the moon
0x800A3A44  Berglandt
0x800A3A50  A happy home
0x800A3A60  Level up!
0x800A3A6C  Over the rainbow
0x800A3A80  Port town
0x800A3A8C  Day break
0x800A3A98  Endless dream
0x800A3AA8  Tales of Destiny
0x800A3ABC  Game over
0x800A3AC8  Happy come come
0x800A3AD8  Rebel against destiny
0x800A3AF0  Blue dragon
0x800A3AFC  Relentless assault
0x800A3B10  Lion  -Irony of fate-
0x800A3B28  Heat wave
0x800A3B34  Hello again
0x800A3B40  Silent night
0x800A3B50  Walking to tomorrow
0x800A3B64  Good luck!
0x800A3B70  Will you dance with me?
0x800A3B88  White kingdom
0x800A3B98  Lime light night
0x800A3BAC  Water garden
0x800A3BBC  Thanks a million
0x800A3BD0  It's pure fiction
0x800A3BE4  A research scholar
0x800A3BF8  A reinforced concrete
0x800A3C10  A botanical garden
0x800A3C24  A submarine remains
0x800A3C38  The storm and stress
0x800A3C50  Conceal one's sorrow
0x800A3C68  I feel so happy today
0x800A3C80  Mysteries night
0x800A3C90  I'm a champion!
0x800A3CA0  Wonder boy -Who are you?-
0x800A3CBC  Dead or alive
0x800A3CCC  Aerial city
0x800A3CD8  Dead factory
0x800A3CE8  Fill of fire
0x800A3CF8  White labyrinth
0x800A3D08  A peaceful day
0x800A3D18  A sanctuary
0x800A3D24  Clock tower
0x800A3D30  A limestone cave
0x800A3D44  The remains
0x800A3D50  Victory!
0x800A3D5C  Sink into vice
0x800A3D6C  Perfidious act
0x800A3D7C  Nightmare
0x800A3D88  Surprise attack!
0x800A3D9C  Bare its fangs
0x800A3DAC  Solemn castle
0x800A3DBC  Go on a cruise
0x800A3DCC  Green hill
0x800A3DD8  A Caged life
0x800A3DE8  The laughter of children
0x800A3E04  A kingdom
0x800A3E10  A snowscape
0x800A3E1C  Crooked sight
0x800A3E2C  Unfinished world
0x800A3E40  Preview edition
0x800A3E50  Magic:Piki-n!
0x800A3E60  Marian:Ha---
0x800A3E70  Speciality:Goaaa!
0x800A3E84  Maguma:Gopo!
0x800A3E94  Money:Chariin
0x800A3EA4  Music2:Jaran...
0x800A3EB4  Music1:Jyararan
0x800A3EC4  Walter:BashaBasha
0x800A3ED8  WalterWalk:PichoPicho
