Is V.DAT SPU ADPCM?  Decoding a sample of extents and measuring roughness.
(tools/vag_probe.py; real ADPCM lands well under 1, noise near 1.3)

buffer                      roughness       peak   blocks  flag bytes
V.DAT[0]                        0.717      31218      640  {0: 638, 1: 1, 7: 1}
V.DAT[71]                       0.253      31166      768  {0: 766, 1: 1, 7: 1}
V.DAT[142]                      0.403      28717     1024  {0: 1022, 1: 1, 7: 1}
V.DAT[213]                      0.374      31660     1024  {0: 1024}
V.DAT[284]                      0.258      29380      640  {0: 638, 1: 1, 7: 1}
V.DAT[355]                      0.325      31157      896  {0: 895, 7: 1}
V.DAT[426]                      0.358      31108      768  {0: 766, 1: 1, 7: 1}
V.DAT[497]                      0.627      30125     1024  {0: 1024}
V.DAT[568]                      0.375      30819      896  {0: 894, 1: 1, 7: 1}
V.DAT[639]                      0.121      28215     1024  {0: 1024}
V.DAT[710]                      0.493      31197     1024  {0: 1024}
V.DAT[781]                      0.367      25344     1024  {0: 1024}
V.DAT[852]                      0.431      22484     1024  {0: 1024}
V.DAT[923]                      0.291      17894      640  {0: 638, 1: 1, 7: 1}
V.DAT[994]                      0.434      26355     1024  {0: 1022, 1: 1, 7: 1}
V.DAT[1065]                     0.676      21788     1024  {0: 1022, 1: 1, 7: 1}
V.DAT[1136]                     0.187      18761      768  {0: 766, 1: 1, 7: 1}
V.DAT[1207]                     0.191      22270     1024  {0: 1024}
V.DAT[1278]                     0.280      19010      768  {0: 767, 7: 1}

TALE.VB (known VAG body)        0.719      32553     1024  {0: 1013, 4: 6, 1: 5}
BVB.D member 0 (known body)      0.954      31601     1024  {0: 1010, 1: 7, 7: 7}
M.DAT (control, not audio)      1.271      32768     1024  {0: 95, 255: 39, 15: 38, 220: 15}
SLPS_011.00 (control)           1.800      32768     1024  {0: 158, 74: 141, 20: 114, 92: 40}
random bytes (control)          1.236      32768     1024

V.DAT sample: 19 extents, roughness 0.121 .. 0.717, mean 0.377
