x,y,w_words,h,slot,writes
0,480,16,1,clut,100
0,480,16,16,clut,56
0,480,256,1,clut,1302
0,481,16,1,clut,6
0,481,256,1,clut,361
0,482,16,1,clut,3
0,482,256,1,clut,175
0,483,16,1,clut,1
0,483,16,4,clut,1
0,483,256,1,clut,84
0,484,16,1,clut,2
0,484,256,1,clut,57
0,485,16,1,clut,2
0,485,256,1,clut,53
0,486,16,1,clut,3
0,486,256,1,clut,48
0,487,16,1,clut,4
0,487,256,1,clut,48
0,488,16,1,clut,16
0,488,256,1,clut,93
0,489,16,1,clut,25
0,489,256,1,clut,63
0,490,16,1,clut,14
0,490,256,1,clut,39
0,491,16,1,clut,1
0,491,256,1,clut,38
0,492,16,1,clut,1
0,492,256,1,clut,39
0,493,16,1,clut,1
0,493,256,1,clut,38
0,494,16,1,clut,2
0,494,256,1,clut,38
0,495,16,1,clut,1
0,495,256,1,clut,38
0,496,16,1,clut,30
0,496,16,4,clut,43
0,496,16,16,clut,10
0,496,256,1,clut,1210
0,497,16,1,clut,2
0,497,256,1,clut,121
0,498,16,1,clut,2
0,498,256,1,clut,47
0,499,16,1,clut,2
0,499,256,1,clut,12
0,500,16,1,clut,2
0,500,256,1,clut,1
0,501,16,1,clut,3
0,501,256,1,clut,1
0,502,256,1,clut,1
0,504,256,1,clut,10
0,508,16,1,clut,1
0,510,16,1,clut,18
0,510,32,1,clut,3
0,510,48,1,clut,2
0,510,64,1,clut,2
0,510,80,1,clut,1
0,510,96,1,clut,1
0,510,256,1,clut,9
0,511,16,1,clut,255
0,511,48,1,clut,2
0,511,64,1,clut,1
0,511,80,1,clut,2
0,511,96,1,clut,2
0,511,256,1,clut,5
16,480,16,1,clut,2
16,481,16,1,clut,1
16,490,16,1,clut,56
16,496,16,16,clut,1
16,506,16,1,clut,80
16,508,16,1,clut,1
32,480,16,1,clut,2
32,496,16,1,clut,1
32,508,16,1,clut,1
48,480,16,1,clut,2
48,496,16,1,clut,1
48,508,16,1,clut,1
64,480,16,1,clut,2
64,496,16,1,clut,1
256,0,64,256,pixels,1
256,256,16,128,pixels,1
256,256,24,128,pixels,1
256,256,32,128,pixels,1
256,256,64,64,pixels,3
256,256,64,128,pixels,8
256,256,64,192,pixels,1
256,256,64,256,pixels,5
256,256,80,128,pixels,4
256,256,96,128,pixels,1
256,256,112,224,pixels,1
256,256,128,96,pixels,4
256,256,128,128,pixels,4
256,256,128,160,pixels,1
256,256,128,192,pixels,7
256,256,128,256,pixels,9
256,480,16,1,clut,1015
256,480,16,2,clut,60
256,480,16,4,clut,43
256,480,16,16,clut,1
256,480,256,1,clut,1042
256,481,16,2,clut,2
256,481,256,1,clut,82
256,482,256,1,clut,10
256,483,256,1,clut,10
256,484,256,1,clut,10
256,485,256,1,clut,10
256,486,256,1,clut,10
256,487,256,1,clut,10
256,488,256,1,clut,10
256,489,256,1,clut,10
256,490,256,1,clut,10
256,491,256,1,clut,10
256,492,256,1,clut,10
256,493,256,1,clut,10
256,494,256,1,clut,10
256,495,256,1,clut,10
256,496,16,1,clut,768
256,496,16,2,clut,8
256,496,16,8,clut,22
256,496,16,13,clut,9
256,496,16,16,clut,5
256,496,256,1,clut,601
256,497,16,3,clut,2
256,497,16,4,clut,1
256,510,256,1,clut,20
272,480,16,1,clut,2
272,480,16,16,clut,2
272,496,16,1,clut,74
272,496,16,2,clut,3
272,496,16,13,clut,9
288,496,16,1,clut,9
288,496,16,3,clut,2
288,499,16,2,clut,2
320,0,4,32,pixels,194
320,0,8,32,pixels,10
320,0,24,16,pixels,205
320,0,24,24,pixels,2
320,0,24,32,pixels,203
320,0,30,16,pixels,15
320,0,36,16,pixels,59
320,0,36,24,pixels,480
320,0,36,32,pixels,1194
320,0,36,40,pixels,10
320,0,36,64,pixels,180
320,0,48,32,pixels,1186
320,0,48,40,pixels,10
320,0,64,24,pixels,14
320,0,64,32,pixels,4692
320,0,64,40,pixels,2
320,0,64,48,pixels,74
320,0,64,64,pixels,1330
320,0,64,96,pixels,200
320,0,64,256,pixels,2
320,32,64,64,pixels,16
320,64,4,24,pixels,92
320,64,36,24,pixels,240
320,64,36,64,pixels,6
320,64,64,32,pixels,34
320,64,64,128,pixels,19
320,96,64,64,pixels,115
320,160,36,32,pixels,20
320,160,64,64,pixels,86
320,224,12,32,pixels,60
320,224,64,32,pixels,147
320,224,64,64,pixels,100
320,255,16,1,clut,7187
320,256,8,32,pixels,76
320,256,32,128,pixels,1
320,256,32,256,pixels,1
320,256,42,240,pixels,1
320,256,64,32,pixels,32
320,256,64,64,pixels,19
320,256,64,96,pixels,90
320,256,64,128,pixels,1
320,256,64,256,pixels,3
320,256,128,128,pixels,4
320,256,128,160,pixels,3
320,256,128,192,pixels,1
320,256,128,240,pixels,1
320,256,128,256,pixels,12
320,352,64,64,pixels,19
320,384,64,32,pixels,6
320,384,64,64,pixels,74
320,468,16,4,clut,9
320,472,16,1,clut,107
320,472,16,4,clut,19
336,468,16,4,clut,9
336,472,16,4,clut,19
352,468,16,4,clut,9
368,468,16,4,clut,9
384,0,64,64,pixels,49
384,0,64,96,pixels,127
384,0,64,256,pixels,2
384,64,36,32,pixels,5
384,64,52,64,pixels,70
384,64,64,32,pixels,62
384,64,64,64,pixels,425
384,128,4,16,pixels,4
384,128,6,16,pixels,2
384,128,16,32,pixels,4
384,128,64,32,pixels,96
